userId,testItems
4,1249 12585 24773 7060 34937
5,16299 20897 16274 2475 6927
8,12513 31672 21123 28000 491
9,20215 24014 30461 33106 25180
13,16303 11945 35421 16629 29384
18,4617 18296 15865 22275 23881
19,19957 28523 6882 27211 25233
23,422 34161 15254 36220 3719
26,5879 36362 17469 24773 1742
29,26516 7976 30446 26278 15098
31,18839 8724 25945 32437 25613
32,1969 3673 20809 35545 682
33,15667 18985 3665 14387 31967
35,21837 24824 33918 36843 27107
37,36268 30033 14292 3308 34213
51,3411 5388 18633 34834 25406
52,2835 8232 18372 12679 3343
53,32466 386 2500 27682 18401
54,10433 27344 36361 4451 1108
61,36288 29610 29429 6373 32363
64,10013 20160 12515 13133 4352
69,17569 12559 691 29614 31646
76,5551 12267 32228 15108 13402
78,17225 16307 3943 35281 9268
79,11419 36804 18946 35551 4273
85,23819 34222 34018 31038 22199
89,36133 18353 7514 12366 31509
92,33220 6017 24516 1894 10735
93,22809 9797 8832 30996 33602
95,30330 5548 5278 30523 929
100,9059 33185 32545 23758 19077
104,34865 26371 8375 10945 1488
105,28568 25461 5554 16809 14886
109,5388 18633 34834 25406 34731
110,22530 26686 29209 9870 8228
111,6863 31707 15905 19594 24371
112,7141 15121 20561 1306 23539
122,37142 3003 11884 12552 29898
126,36559 12057 17170 33056 27280
131,31154 34312 7399 18519 36977
132,33420 28487 3807 10706 5548
136,13470 31031 34829 1600 10812
140,26673 23180 15462 16506 1690
144,35762 11213 8057 18089 8734
145,21208 36242 30513 33377 25924
146,34146 27266 16746 4642 31663
151,22658 25089 5108 24367 9815
152,16558 24043 14268 1288 3935
155,25013 10178 36004 33451 15394
156,10605 36718 30759 25180 6788
160,37142 36780 4944 2815 14757
162,7615 19288 20922 4526 22714
164,16278 4839 7237 16969 23157
165,5087 26684 14276 23058 3896
166,3203 4634 8820 8825 15357
169,8158 36032 23471 20274 34315
173,4106 19116 32305 34359 23924
179,16856 36048 29095 28896 15749
184,23512 13635 929 5548 1337
185,27211 25233 3711 36690 27333
186,14327 8735 29294 36808 35377
187,37142 7917 32707 28732 27757
189,5996 34710 13127 19346 13653
190,26001 4674 11215 22897 29370
191,6554 32957 33429 3044 34008
197,1286 6386 22997 29767 17488
205,21073 30024 25769 26255 6863
208,4222 20315 1434 23758 31466
209,35640 24671 7185 16892 21321
217,20355 14403 18738 33276 14940
218,19444 16274 6927 2475 26137
222,7465 32208 12659 9753 164
223,32010 27273 33850 9889 4529
234,36217 4617 18296 15865 22275
240,26711 25612 23461 8837 16819
246,6292 26439 6097 34051 2760
247,5080 22559 3062 25857 16274
250,2259 410 26997 11894 13
257,26711 25612 12662 23461 8837
258,31467 4987 20765 4473 37027
268,21639 34568 4544 10572 3514
269,2004 1383 24253 1478 24502
270,31038 11798 29393 31615 8316
274,31213 21441 31057 21134 37083
278,18941 33911 14574 789 5598
281,12275 36528 19739 6122 36288
288,12972 10936 9146 33916 12416
294,10216 1792 20981 4750 30120
296,16425 36549 8227 25154 33302
299,8175 29830 36148 36986 30915
301,13418 21164 36427 32488 25326
308,23188 21501 2385 35675 5274
310,21563 27211 25233 3711 36690
312,30030 30021 20791 25742 25365
314,14323 15371 11993 20458 5766
318,24588 36752 17960 23401 11033
321,19936 36771 10335 10877 8363
326,29347 2656 18531 8312 31470
327,3477 23624 18144 24847 26879
333,34756 32987 27456 10831 30136
336,26227 19936 36771 10335 10877
337,37142 29674 2129 10058 36894
339,31985 2427 18391 22287 15861
344,36789 23430 27368 32715 30062
350,30512 16265 26874 5732 2852
353,17332 29518 16274 6927 2475
355,12693 29926 120 34085 31771
359,16577 13988 26049 8665 28241
361,26711 25612 12662 16819 23461
364,25110 50 23328 14312 6483
365,11873 2922 4389 5405 7116
374,33799 35907 36517 36993 32787
375,19789 18394 24867 10024 12515
376,22809 28775 16471 17193 34580
378,29129 29179 27274 11000 24293
379,18555 20884 24084 9623 1855
380,11347 36219 21294 12739 14081
383,6490 16163 34199 741 33524
385,15232 26716 31611 9679 7145
388,32062 7059 6096 2137 13873
390,36317 26028 2264 10913 17391
393,15984 35857 2168 36739 3057
399,19736 15843 8464 13412 5539
401,37142 20651 16881 20014 1419
405,35006 24682 10962 4106 19116
412,25178 20239 5603 20824 29552
413,7011 10944 24453 12977 29360
415,31474 31967 11356 9214 5055
418,31184 24677 36650 17896 30395
431,36736 17616 18696 22444 29092
433,25665 28519 4389 7116 6860
441,13936 24647 29921 17622 4466
443,1021 30613 12041 36362 21289
445,27682 6539 33981 7932 17105
449,14375 17270 34237 990 23387
456,3374 23247 27380 29460 3284
458,28737 3953 14966 11671 19890
459,10758 34141 35804 28030 32213
463,16997 1330 28029 10751 7406
466,17332 29518 16274 2475 6927
477,37142 35162 17200 2922 4389
478,33106 1430 12408 12756 32273
481,30759 25180 6788 27730 8045
487,22245 4274 13116 9703 32678
488,29129 29179 13186 21546 27274
491,19464 22087 1899 3711 2028
494,16895 23888 23075 21668 31852
503,29127 28269 11829 16967 19249
504,1470 3528 9995 33126 12199
508,33429 3044 34008 36299 25251
509,5388 18633 34731 34834 36477
510,31011 16695 18364 8619 22136
511,1388 23393 3109 1089 17801
516,33429 34008 3044 36299 25251
524,8915 10565 36530 7801 18073
527,30820 8820 8825 30794 33098
531,24338 4353 1932 34417 32062
532,37142 35908 11149 17618 34321
541,18646 6698 21331 35197 5171
542,33564 5589 9797 423 8832
543,33475 32777 23261 28036 3609
549,36650 17896 30395 10235 35419
551,6788 27730 8045 13470 31031
559,33475 32777 23261 28036 3609
565,18877 4175 6149 27666 25754
568,31736 22162 28705 26794 23839
569,20651 1419 16881 20014 30691
572,19870 8446 14870 27203 13684
582,24647 29921 17622 13613 8159
589,18084 24673 29839 35051 36268
590,6205 35035 3535 24971 2658
592,3437 4804 19003 35576 31212
595,8296 11656 2149 5084 1624
599,8826 14938 29332 3332 36848
600,27211 25233 3711 36690 27333
603,5275 15268 398 28159 26862
605,17931 2478 5481 33564 22103
606,26729 22801 13683 20854 18848
615,25461 31236 9153 32695 2799
616,32491 423 18946 35551 27944
617,20618 2857 4157 18031 30778
621,7799 15843 35929 24498 25320
632,24400 36823 10916 21898 9982
643,6621 15954 12812 31326 15842
646,19039 17209 19238 9025 23392
651,3331 21182 2484 25027 18350
652,10913 17391 7862 2962 3654
653,26711 25612 8837 16819 23461
654,10887 21434 1005 15796 35541
658,30003 16483 4750 21931 34884
659,11215 30762 25558 22918 5581
663,7011 30523 11884 23348 12552
665,32067 7219 36868 34606 31681
673,17810 27482 9843 582 7283
675,24647 29921 17622 4466 17517
680,26711 25612 23461 8837 16819
681,9356 13419 12984 3137 10297
684,13218 12984 18538 27753 15965
691,17889 4836 30188 32823 7161
696,1440 9332 9984 35552 32924
700,25233 36690 2028 28523 6882
705,19936 10877 36771 10335 8363
706,8309 33207 1115 29396 4125
710,10797 24617 32558 4427 19279
712,37142 7011 6863 31707 15905
713,37065 9127 18493 14164 5874
715,35186 4233 6312 21434 1005
717,4262 35404 4516 32326 26711
722,2828 2632 17247 28043 12509
725,18055 7845 24867 27211 25233
729,26048 19517 35221 21723 4192
733,2710 18799 36032 8158 19886
739,11350 33918 8820 33098 11150
741,13871 21971 32399 14768 24073
744,4509 24803 34655 22383 36225
747,33428 19885 3411 31590 9304
750,16274 6927 2475 26137 14279
757,32437 25613 15477 33381 36808
759,8175 36986 36148 29830 30915
761,22559 3062 25857 26872 23452
773,21680 11031 10308 29575 29565
777,36447 27282 799 37007 13078
780,7011 4106 19116 652 22444
782,24433 23179 2049 10291 1969
784,1855 36298 26211 21515 24741
787,18311 25970 1969 3673 20809
788,6464 13123 15749 24830 5663
789,9870 8228 3590 19392 16179
791,11803 34132 31147 28827 36443
792,6654 33831 20111 27211 28523
796,36217 14890 23936 36895 64
801,16856 8299 29986 36288 29610
806,7836 25170 21692 7202 33973
808,35929 24498 14081 27201 10914
810,27008 20618 4157 18031 1088
813,29741 33422 15326 2895 25182
816,3538 2538 1322 929 15885
820,14134 18748 29300 2205 23874
826,32767 17810 22702 5258 28284
827,35377 36808 29294 25233 36690
828,6770 14870 8446 4480 19826
831,6863 31707 15905 36697 5739
