userId,testItems
4,9671 33028 16206 15555 14734 
5,33167 28913 6719 6992 863 
8,24679 32444 5385 18419 13811 
9,23434 255 5832 33894 24758 
13,22699 11840 31211 28894 3112 
18,1005 31130 13069 30401 15226 
19,10307 16729 1096 27561 18635 
23,29868 18937 11243 32014 2132 
26,27142 33461 17236 17434 5713 
29,35723 32546 18149 15120 4702 
31,34373 208 6923 12037 1865 
32,19278 12987 35828 23743 10469 
33,5369 27091 17913 12557 8795 
35,35032 14602 4445 27200 823 
37,14721 17206 36746 23181 18503 
51,2418 35994 24824 21580 24323 
52,15914 33727 12586 26203 2886 
53,30557 31289 35856 20818 24441 
54,10763 34844 7424 10669 7328 
61,15990 18660 35312 7170 14801 
64,17333 34376 22541 6168 1672 
69,1587 6808 11987 26155 6199 
76,9947 2272 27628 32754 12927 
78,16746 6889 12044 9805 30831 
79,24010 28939 7424 32079 12669 
85,24322 31601 23567 11770 11047 
89,25865 12389 21551 10691 9805 
92,9654 25149 19308 2851 2075 
93,10432 36558 29440 11891 26446 
95,35028 27010 25970 4110 33266 
100,23979 19997 7263 2851 1075 
104,12151 9302 16919 24752 34675 
105,2163 14519 33928 22696 6477 
109,8727 30889 4767 22390 2055 
110,35668 20003 576 1485 24494 
111,33377 24837 33498 26883 5131 
112,9610 16340 10560 25211 35270 
122,11654 5445 9489 6670 34428 
126,19625 2019 28805 2400 250 
131,35819 35617 18388 4268 24875 
132,28747 23628 27990 27739 21767 
136,31928 27971 26568 34939 16549 
140,28713 14578 22482 9191 10779 
144,719 12900 5267 15286 5686 
145,30792 27456 3673 30480 8436 
146,3973 24617 35455 30255 23149 
151,28201 10319 29377 14112 22864 
152,2651 25596 11630 16721 30414 
155,30474 15842 11709 18025 23228 
156,32250 6998 1019 18071 29365 
160,12352 15364 19312 21334 34117 
162,11337 16281 24331 2921 4624 
164,7836 14996 35006 951 18686 
165,7529 31921 15761 35670 28223 
166,15342 82 25786 21716 10087 
169,16780 34644 17864 2498 36448 
173,696 5458 8593 32595 14301 
179,20137 19593 8720 12507 31963 
184,25888 3283 5151 34932 6561 
185,26498 36433 8344 36400 20652 
186,19690 35183 1598 7313 4284 
187,32592 5553 11942 28396 9266 
189,24211 14084 35498 35419 19712 
190,9943 27610 26726 4017 28502 
191,36867 18913 35193 33024 16184 
197,3984 4583 17022 21038 31706 
205,12193 10303 16134 13011 32602 
208,27972 1293 24088 10054 6460 
209,13369 36699 7685 18187 25973 
217,31145 15996 22963 14495 15724 
218,14721 25927 25621 8553 32702 
222,8653 18265 28090 1436 32884 
223,18897 1006 7187 25677 32537 
234,10718 28461 11241 3525 25176 
240,21131 16258 14704 6296 1523 
246,28055 9188 13989 13033 13264 
247,229 25868 12557 11328 24072 
250,2716 22247 24648 9474 13116 
257,3141 834 32200 20779 4483 
258,22324 16682 10710 13345 15725 
268,34214 33171 37038 2708 4815 
269,6211 32278 34683 33236 4787 
270,36458 3352 25486 34504 5268 
274,32849 734 12729 8852 36569 
278,32341 4819 24696 32675 2703 
281,4891 5393 10781 17437 641 
288,3173 28557 35472 11744 34131 
294,4854 25585 90 8804 35960 
296,31445 29510 33439 28975 31070 
299,3383 30594 35168 10845 8673 
301,30596 36838 31141 21264 28918 
308,15792 35535 37082 11450 10092 
310,27711 15640 32150 29790 2874 
312,11927 27588 24681 10741 12531 
314,22091 23367 5820 32154 14940 
318,35465 27056 14535 36306 27223 
321,31447 26942 12542 10883 23788 
326,33749 1198 25865 7755 30611 
327,9414 13324 34303 32532 37067 
333,8106 3701 23010 3856 29679 
336,19290 28859 15169 20666 12916 
337,32837 11871 27921 36445 4210 
339,148 10934 30210 4221 15510 
344,1521 10267 7747 12354 31727 
350,15853 34127 10312 31242 28256 
353,8134 15467 4094 25638 35003 
355,9090 8570 28461 36293 32846 
359,237 10228 21836 937 14971 
361,33537 11608 10459 252 18418 
364,33648 15137 36053 34143 32070 
365,29251 36887 26792 24952 23204 
374,34114 19583 2615 24156 31664 
375,16557 22636 12032 10461 28517 
376,36715 27409 11541 22301 29034 
378,28467 15122 9940 9464 21407 
379,4143 21518 32328 25620 9025 
380,9752 11192 20800 34892 35074 
383,12730 20259 2510 15245 8822 
385,18162 29939 14035 19239 3514 
388,34324 32904 4310 24321 24806 
390,28753 23416 2157 22973 15544 
393,678 6098 9699 20889 6498 
399,21781 17004 20808 18352 29308 
401,24241 10061 1962 27369 3864 
405,33766 7712 14191 24525 28168 
412,12372 5899 5108 13036 30324 
413,27747 23664 20242 35267 22901 
415,6429 19217 36969 26283 2993 
418,1609 18243 16588 18081 6162 
431,11964 32052 9937 11029 3414 
433,3701 22356 11077 14326 3398 
441,32601 4139 1989 16376 33977 
443,33617 8216 32148 8981 33043 
445,29992 12979 36477 10093 15745 
449,6766 37054 26006 16946 720 
456,15204 23388 24123 22226 9865 
458,4479 15218 31375 18810 34494 
459,14362 17345 21418 16951 21228 
463,34532 689 10259 26146 2243 
466,13396 32712 27647 15480 33701 
477,3961 5629 4361 34735 4521 
478,3503 6735 35159 3746 14413 
481,23746 26614 22966 34955 12878 
487,35241 3927 13560 4403 9717 
488,10743 2715 7229 15507 10880 
491,26079 8904 35638 11346 5754 
494,20633 29363 16487 36987 16216 
503,5341 1497 26669 25399 18527 
504,11308 9156 35687 8279 14694 
508,27567 36956 9747 2078 7884 
509,36225 5647 28038 23097 3714 
510,8340 10030 15542 37058 33838 
511,20444 22150 2940 21418 33360 
516,3936 21623 9506 308 21989 
524,19013 34083 28771 19879 25145 
527,17209 14798 3880 24226 36834 
531,7945 33480 28197 30634 7913 
532,30270 6395 35307 17799 12304 
541,32217 26937 19341 13609 21250 
542,21957 34872 11372 10036 610 
543,25185 15915 24321 21868 27673 
549,34781 2996 2939 25183 20154 
551,31814 28055 27513 16355 27765 
559,23804 18708 34841 22484 23731 
565,22929 25919 34561 5804 26259 
568,7581 4956 27635 1746 16547 
569,4619 19088 6183 25919 14598 
572,24041 2190 18688 28041 8755 
582,16194 22356 12722 18100 15323 
589,24239 1073 32132 26631 28492 
590,26099 31978 14102 26450 19445 
592,7167 35244 750 11882 16592 
595,4917 8207 19908 13600 26873 
599,6307 6693 20501 4193 9582 
600,12695 4487 32778 35283 3417 
603,15236 4680 11687 14218 18168 
605,12090 8473 10562 25607 19117 
606,28635 29274 20302 24517 6132 
615,13501 16145 25539 8426 36363 
616,7516 7920 28664 88 15615 
617,28485 11277 20174 7098 10146 
621,36239 10754 12571 37010 29304 
632,29525 23488 30139 16644 30851 
643,4705 19064 26592 9217 19756 
646,14197 29780 24918 36506 34796 
651,21404 2979 15371 6717 36980 
652,6706 12329 32480 4183 1346 
653,15064 17872 13710 12573 8879 
654,1533 26010 28996 27641 23265 
658,15327 5021 11258 23745 34810 
659,19329 32882 24078 17318 3539 
663,25817 16504 31231 9873 27307 
665,35947 23033 5795 14797 32778 
673,20021 20194 16434 6825 9257 
675,30531 29023 8739 21965 5015 
680,24136 37071 7555 6907 17762 
681,20316 25463 7899 7522 8516 
684,1417 1473 15128 5897 36489 
691,33895 5492 12633 10066 6465 
696,27637 30085 29900 26879 10771 
700,29093 29761 2818 33006 3987 
