userId,testItems
4,33475 32777 23261 28036 3609
5,33475 32777 23261 28036 3609
8,33475 32777 23261 28036 3609
9,33475 32777 23261 28036 3609
13,33475 32777 23261 28036 3609
18,33475 32777 23261 28036 3609
19,33475 32777 23261 28036 3609
23,33475 32777 23261 28036 3609
26,33475 32777 23261 28036 3609
29,33475 32777 23261 28036 3609
31,33475 32777 23261 28036 3609
32,33475 32777 23261 28036 3609
33,33475 32777 23261 28036 3609
35,33475 32777 23261 28036 3609
37,33475 32777 23261 28036 3609
51,33475 32777 23261 28036 3609
52,33475 32777 23261 28036 3609
53,33475 32777 23261 28036 3609
54,33475 32777 23261 28036 3609
61,33475 32777 23261 28036 3609
64,33475 32777 23261 28036 3609
69,33475 32777 23261 28036 3609
76,33475 32777 23261 28036 3609
78,33475 32777 23261 28036 3609
79,33475 32777 23261 28036 3609
85,33475 32777 23261 28036 3609
89,33475 32777 23261 28036 3609
92,33475 32777 23261 28036 3609
93,33475 32777 23261 28036 3609
95,33475 32777 23261 28036 3609
100,33475 32777 23261 28036 3609
104,33475 32777 23261 28036 3609
105,33475 32777 23261 28036 3609
109,33475 32777 23261 28036 3609
110,33475 32777 23261 28036 3609
111,33475 32777 23261 28036 3609
112,33475 32777 23261 28036 3609
122,33475 32777 23261 28036 3609
126,33475 32777 23261 28036 3609
131,33475 32777 23261 28036 3609
132,33475 32777 23261 28036 3609
136,33475 32777 23261 28036 3609
140,33475 32777 23261 28036 3609
144,33475 32777 23261 28036 3609
145,33475 32777 23261 28036 3609
146,33475 32777 23261 28036 3609
151,33475 32777 23261 28036 3609
152,33475 32777 23261 28036 3609
155,33475 32777 23261 28036 3609
156,33475 32777 23261 28036 3609
160,33475 32777 23261 28036 3609
162,33475 32777 23261 28036 3609
164,33475 32777 23261 28036 3609
165,33475 32777 23261 28036 3609
166,33475 32777 23261 28036 3609
169,33475 32777 23261 28036 3609
173,33475 32777 23261 28036 3609
179,33475 32777 23261 28036 3609
184,33475 32777 23261 28036 3609
185,33475 32777 23261 28036 3609
186,33475 32777 23261 28036 3609
187,33475 32777 23261 28036 3609
189,33475 32777 23261 28036 3609
190,33475 32777 23261 28036 3609
191,33475 32777 23261 28036 3609
197,33475 32777 23261 28036 3609
205,33475 32777 23261 28036 3609
208,33475 32777 23261 28036 3609
209,33475 32777 23261 28036 3609
217,33475 32777 23261 28036 3609
218,33475 32777 23261 28036 3609
222,33475 32777 23261 28036 3609
223,33475 32777 23261 28036 3609
234,33475 32777 23261 28036 3609
240,33475 32777 23261 28036 3609
